,Artist Name,Genres,Popularity,Followers Count
147,Bidhya Tiwari,cover artist,25,245
148,Shyam Sharan Nepali,cover artist,6,110
149,Utsav,cover artist,23,1042
150,Swaroop Raj Acharya,nepali pop,23,6275
151,Arun Thapa,modern classical,19,22214
152,changa productions,music distributor,27,12
153,Yash Kumar,nepali pop,30,6264
154,Yama Buddha,rap,29,125396
155,Umesh Pandey,cover artist,12,132
156,Jptrockerz,nepali pop,27,10180
157,Natikaji,nepali pop,17,996
158,Hrittal,cover artist,26,2714
159,Yam Baral,nepali pop,14,5376
160,NepMelo,lok dohori,7,43
161,Karan Bhatta,nepali pop,29,6324
162,Ashish Aviral,nepali pop,18,4729
163,Pushpa Nepali,nepali pop,5,683
164,Abhaya & The Steam Engines,nepali pop,16,3963
165,Mt.8848,nepali rock,18,4329
166,Karna Das,nepali pop,20,16381
167,The Shadows 'Nepal',nepali rock,14,35573
168,Dinesh Dhakal,nepali pop,24,4131
169,Barsha Thapa,cover artist,26,142
170,Dibya Subba,nepali pop,22,11172
171,Rajina Rimal,nepali pop,14,2335
172,Mr Hyozu,nepali pop,19,1027
173,Indira Joshi,nepali pop,20,1286
174,Yogeshwor Amatya,nepali pop,16,14383
175,Kshetra Gurung,nepali pop,11,260
176,Kunti Moktan,nepali pop,20,16744
177,Rakchha Gurung,cover artist,17,8
178,Nepali Lofi,music distributor,3,5
179,Ketan Chhetri,cover artist,12,345
180,Phatteman,nepali pop,15,1713
181,Arjun Katuwal,cover artist,20,509
182,Shishir Bhandari,cover artist,14,72
183,Krizn,rap,22,2967
184,Kelsang Shrestha,nepali pop,25,9244
185,Basanta Thapa,lok dohori,22,2970
186,Meena Niraula,nepali pop,15,158
187,Krishna KC,nepali pop,21,2237
188,Muna Thapa Magar,cover artist,9,976
189,Anmol Gurung,nepali pop,14,2471
190,Dhiraj Rai,nepali pop,14,7440
191,Sapana Shree,nepali pop,17,434
192,Bishnu Majhi,lok dohori,23,5634
193,Jerusha Rai,nepali indie,14,9166
194,Ram Thapa,nepali pop,16,4039
195,Nepal Death,hard rock,4,932
196,Dharmendra Sewan,nepali pop,19,507
197,Ram Chandra Kafle,lok dohori,24,8727
198,Gulam Ali,nepali pop,18,7555
199,Prem Raja Mahat,lok dohori,11,698
200,Rajan Ishan,nepali pop,15,399
201,Meera Rana,nepali pop,14,1418
202,Bhanubhakta Dhakal,cover artist,14,83
203,Anju Pant,lok dohori,16,90
204,Arjun Pokharel,nepali pop,17,326
205,Saran Ranjeet,cover artist,9,12
206,KANDARA,nepali pop,15,15255
207,Bimal Adhikari,cover artist,20,344
208,Sukmit Gurung,nepali pop,8,667
209,Danny Denzongpa,cover artist,12,417
210,Sanjeep Pradhan,nepali pop,12,526
211,Prabin Bedwal,nepali pop,15,1841
212,Raj Sigdel,cover artist,5,218
213,Marmik Lama,nepali pop,15,2054
214,Deepu Gurung,nepali pop,16,354
215,Ananda Karki,nepali pop,17,2803
216,Damber Nepali,cover artist,2,12
217,Arjun Nepali,cover artist,7,45
218,Bhupu Pandey,cover artist,17,371
219,Varsha Thapa,nepali pop,17,2534
220,Cadenza Collective,nepali indie,8,2990
221,Tarzan Lepcha,cover artist,10,140
222,Chandi Prasad Kafle,cover artist,13,21
223,Shankar Thapa,nepali pop,15,261
224,Bro sis Band,nepali rock,8,576
225,Binodkumar Rai & Nepali Group,lok dohori,1,1990
226,Girish Khatiwada,rap,15,2221
227,Bharati Ghimire,cover artist,13,82
228,Premdhoj Pradhan,nepali pop,12,95
229,Kehar Sing Limbu,cover artist,15,670
230,Sanup Paudel,cover artist,7,258
231,Hira Rasaily,nepali pop,14,177
232,COD,nepali pop,16,504
233,Reshma Pun,nepali pop,15,614
234,Ajnish,cover artist,8,197
235,Karma Tseten Ghale,cover artist,21,1078
236,Ciney Gurung,cover artist,17,845
237,Space,nepali rock,16,3701
238,Paribesh Band,nepali pop,12,375
239,Sunita Thegim,cover artist,15,589
240,Pariwartan,nepali pop,24,6201
241,Sugam Pokharel,nepali pop,16,6
242,Komal oli,lok dohori,11,421
243,Ankita Pun,nepali pop,22,6545
244,Nepal&Fiskal,cover artist,9,16
245,Subani Moktan,nepali pop,13,995
246,Kranti Ale,cover artist,10,90
247,Chakra Bam,cover artist,19,1818
248,Devika Pradhan,nepali pop,13,635
249,Nima Rumba,nepali pop,15,3138
250,Lochan Bhattarai,nepali pop,8,285
251,Jitu Lopchan,cover artist,13,323
252,Bakemono Gurung,cover artist,16,1100
253,Night,nepali indie,10,3569
254,Maya Gurung,cover artist,6,48
255,Pranil L Timilsina,cover artist,12,23
256,Nirmal,cover artist,8,6
257,Rodit Bhandari,cover artist,15,80
258,Bima Kumari Dura,lok dohori,11,1372
259,Andazification,rap,15,5094
260,Nima Raya,cover artist,24,543
261,Ashish Abiral,cover artist,12,188
262,Pralhad Timilsina,nepali pop,10,426
263,Human Acharya,cover artist,12,766
264,Lakpa Sherpa,nepali pop,3,302
265,Saswot Shrestha,nepali pop,18,851
266,Almoda Rana Upreti,nepali pop,7,28
267,Bharati Ghimire,cover artist,11,63
268,Subha Tamang,nepali pop,15,305
269,Jhuma Limbu,cover artist,2,331
270,Deepa Jha,nepali pop,8,252
271,Kush Band Nepal,nepali rock,15,5113
272,Udit Naran Jha,modern classical,5,111
273,Saroj Pokharel,nepali pop,14,1579
274,Nhyoo Bajracharya,cover artist,15,159
275,Dipa Lama,cover artist,9,16
276,David Shankar,cover artist,6,125
277,Nischal Dawadi,cover artist,15,308
278,Pashupati Sharma,nepali pop,15,6186
279,Lisson Khadka,cover artist,18,2119
280,Deepak Bajracharya,modern classical,9,664
281,Ramana Shrestha,cover artist,10,71
282,Simon Pradhan,cover artist,9,11
283,Samjhana Bhandari,nepali pop,13,1336
284,Beyond the Clouds,cover artist,19,114
285,Abun Pandey,cover artist,3,52
286,Preezol Nepali,cover artist,3,67
287,Vickey Prasad,cover artist,19,85
288,Manas Ghale,rap,18,10959
289,Rudra Mani,cover artist,7,8
290,Jhapalish,rap,20,126
291,Satya Kala Rai,nepali pop,6,358
292,Kulendra Bishwakarma,lok dohori,10,1101
293,VZN,nepali indie,17,6998
294,Suresh Gaire,nepali pop,16,359
295,Mings Lama,cover artist,6,174
296,Kumar Basnet,nepali pop,8,1677
297,Mandavi Tripathi,cover artist,12,152
298,Om Bikram Bista,nepali pop,8,626
299,Umesh Pande,cover artist,6,24
300,Mandavi Tripathi,cover artist,12,152
301,Om Bikram Bista,nepali pop,8,626
302,Umesh Pande,cover artist,6,24
303,Yabesh Thapa,nepali pop,21,1204
304,Sumina Lo,cover artist,13,90
305,Khadga Garbuja,cover artist,9,184
306,Benisha Poudel,nepali pop,14,432
307,NIMA RUMBA,nepali pop,14,1242
308,Abiral Bhujel,cover artist,15,136
309,Subani Moktan,nepali pop,13,342
310,Deepa Narayan Jha,cover artist,15,107
311,Suresh Adhikari,nepali pop,11,271
312,Mzee Trix,rap,24,4737
313,Krishna Kafle,cover artist,8,104
314,New Life Kathmandu,cover artist,16,1755
315,5:55,rap,10,1230
316,Shubha Shambhujeet,cover artist,12,6
317,Atma,cover artist,8,113
318,Satya Raj Acharya,nepali pop,8,1773
319,Anuprastha,nepali indie,17,12760
320,Raj Kusmy,cover artist,20,2001
321,Nishan Bhattarai,nepali pop,8,743
322,Numa Subba,cover artist,7,10
323,Praz Khanal,cover artist,8,6694
324,Bhumika Giri,cover artist,15,312
325,Somiya Baraili,cover artist,13,45
326,Badri Pangeni,lok dohori,8,835
327,Laxmi Thapa,cover artist,10,233
328,Nisha Deshar,cover artist,12,96
329,Amrit Gurung,nepali pop,3,2310
330,Suman Gurung,cover artist,10,132
331,Nepali Bhajan,cover artist,2,696
332,UJAN SHAKYA,cover artist,10,228
333,Bibek Nepal,cover artist,3,13
334,Chintu Rimal,nepali pop,14,660
335,Sunita subba,nepali pop,7,321
336,Manas Raj,nepali pop,12,203
337,Riko Lama,cover artist,10,847
338,Sarun Tamrakar,cover artist,14,8
339,Mingma Sherpa,nepali pop,5,418
340,Sagar Sansar Rai,cover artist,11,185
341,Tara Thapa,nepali pop,9,112
342,Nabin Rawal,cover artist,12,71
343,Tara Devi,modern classical,9,13939
344,Milan Newar Amatya,cover artist,7,32
345,Sanjeev Singh,nepali pop,11,9324
346,Smita Dahal,nepali pop,10,995
347,Sahima Shrestha,cover artist,6,70
348,Suraj Rt,cover artist,18,196
349,Suk Gurung,cover artist,5,13
350,Laxmi Neupane,lok dohori,8,446
351,Uday Nepali,cover artist,3,38
352,UshaKiran Adhikari,nepali pop,7,694
353,Kamali Kanta Bhetuwal,nepali pop,7,441
354,Sujata Verma,cover artist,8,25
355,Mamata Dipbim,nepali pop,8,374
356,Prince Leo,cover artist,6,42
357,Jayan J. Waiba,cover artist,9,40
358,Indrakala Rai,cover artist,10,63
359,Sobhit,cover artist,8,5
360,Jitendra Bardewa,cover artist,9,12
361,Mr RJ,cover artist,13,987
362,Uddav,cover artist,5,4
363,Niva Dangol,cover artist,7,150
364,Bindu Pariyar,nepali pop,12,364
365,Melina Mainali,nepali pop,11,479
366,Birendra Dong,cover artist,9,330
367,Nepsek,cover artist,3,152
368,Suyog Sotang,cover artist,8,6
369,Pakku Panda,rap,20,12898
370,Rikesh Gurung Keys,nepali pop,11,11151
371,Abhaya Dutta,cover artist,3,1
372,Sharmila Bardewa,cover artist,7,76
373,Annu Chaudary,cover artist,10,384
374,Kala Suptihang Rai,cover artist,11,493
375,Abboye,cover artist,12,288
376,Utpal Kandel,cover artist,9,10
377,Yash Kumar,cover artist,13,465
378,Ashish Mahar,cover artist,11,190
379,Suresh Lama,cover artist,11,308
380,Aashusen Lama,cover artist,6,24
381,BIREN,cover artist,19,48
382,Narendra Pyasi,nepali pop,11,874
383,Suraj Nepal,cover artist,4,310
384,Dil Maya Khati,cover artist,6,63
385,Madhyanha Band,nepali pop,8,385
386,Sagar Bal,cover artist,7,90
387,Sushant Khatri,cover artist,7,441
388,Rakesh Karkidoli,cover artist,4,76
389,Suman KC,nepali pop,10,1073
390,Raju Bishowkarma,cover artist,5,2
391,Salin Magar,cover artist,6,97
392,Ramila Neupane,cover artist,6,9
393,Santosh Lama,cover artist,5,99
394,Jhalak Man Gandharba,lok dohori,8,1753
395,John Rai,nepali pop,13,7
396,Chattyangz,cover artist,9,16
397,Ethos Band,folk rock,8,79
398,Rajan Raj Shiwakoti,cover artist,11,28
399,Tilak Singh Pela,cover artist,4,355
400,Mansingh Thulung,cover artist,3,0
401,Ujan Shakya,cover artist,11,442
402,Aagantuk Kharel,cover artist,4,20
403,Thaneshwor Gautam,cover artist,6,316
404,Yogesh Baidhya,cover artist,6,96
405,Pranil Timilsina,cover artist,7,19
406,Lama Ngodup Jungney,cover artist,2,38
407,Deeya Gurung,cover artist,5,15
408,Suman Thapa Magar,cover artist,9,369
409,Mira Rana,nepali pop,3,151
410,Sandip Neupane,cover artist,8,214
411,Anxmus,cover artist,8,151
412,Jems Pradhan,nepali pop,6,712
413,Laxmi Adhikari,cover artist,2,47
414,Prakash Parajuli,cover artist,9,586
415,Subhash Puri,cover artist,10,253
416,Saurab Tamang,cover artist,6,107
417,Durga Kharel,cover artist,7,111
418,Jibesh Gurung,nepali pop,9,20
419,Roshan Gurung,cover artist,3,67
420,Bharati Upadhya,nepali pop,3,710
421,Mahesh Budathoki,lok dohori,7,564
422,Ujjwal Saagar,cover artist,7,454
423,Prem Rana Autari,nepali pop,1,143
424,Rajan Rai,cover artist,4,34
425,Jiten Rai,nepali pop,4,435
426,Sujita Yonjan,cover artist,13,547
427,Rajesh Nepali,nepali indie,2,3265
428,Roj Moktan,cover artist,12,214
429,Ashok Pandey,cover artist,1,33
430,Raman Maharjan,cover artist,3,41
431,Alish Nepking,cover artist,6,161
432,Sita Thapa,cover artist,5,23
433,Aastha Raut,nepali pop,7,156
434,Amrita Nepali,cover artist,1,14
435,Bekcha,cover artist,11,286
436,Indira Gurung,cover artist,8,73
437,Aman Karna,cover artist,8,439
438,Prakash Timilsina,cover artist,4,45
439,XiuMin Tamang,cover artist,2,18
440,Bharat Deurali,cover artist,5,3
441,Babin Pradhan,nepali pop,5,401
442,KAUSO,cover artist,15,5635
443,Pramod Nirwan,cover artist,3,191
444,Rajani Rimal,cover artist,6,43
445,Budha Subba,cover artist,12,25
446,Diandra,cover artist,4,1
447,Suraj Adhikari,cover artist,7,47
448,Laxmi Nepali,cover artist,1,34
449,Sachin Singh,cover artist,3,12
450,Tilok Newar,cover artist,10,155
451,Prakash Tamang Titung,cover artist,6,100
452,Manose Singh,cover artist,2,302
453,Tsujil Karmacharya,nepali pop,4,297
454,Janardan Sama,cover artist,6,1
455,Santosh Shrestha,cover artist,6,25
456,Kranti Ale,cover artist,3,125
457,Manisha Pokhrel,cover artist,5,26
458,Pavitra Karkidoli,cover artist,4,0
459,Shakti Ballav,cover artist,2,17
460,Yubraj Chaulagain,nepali pop,6,168
461,Sarita Lama,cover artist,3,6
462,Kiran Waiba,cover artist,6,160
463,RK Gurung Official,cover artist,11,119
464,Naren Limbu,nepali pop,7,735
465,Greeshma Siwakoti,cover artist,7,0
466,SAGEnomore,cover artist,6,681
467,Sunil Nepali,cover artist,3,15
468,Thujey Ngetup,cover artist,2,7
469,Anju Panta,lok dohori,4,37
470,Nirala Tamang,cover artist,5,48
471,Manila Sotang,nepali pop,5,663
472,Fatteman Rajbhandari,cover artist,4,33
473,Narmata Bal,cover artist,7,2
474,Sashikala Moktan,cover artist,10,27
475,Situsit,cover artist,10,256
476,Ramesh Prasain,cover artist,8,262
477,Krishna Man Dangol,cover artist,3,248
478,Baasuri Films,cover artist,6,130
479,Aaditya Narayan Jha,cover artist,3,10
480,TM Music,cover artist,6,47
481,Tshering Lhamu Tsumpa,cover artist,3,1
482,Kculture,cover artist,7,24
483,Satya Kala Rai,cover artist,3,6
484,Ná,cover artist,1,18
485,Chetan Sapkota,cover artist,4,128
486,Hari Lamsal,cover artist,8,19
487,Jhilkey And The Company,nepali rock,9,1299
488,Monish Niroula,cover artist,7,62
489,Deepak Sharma,cover artist,3,100
490,Chandra Kumar Dong,cover artist,7,473
491,Nango Manchay,cover artist,6,780
492,Baba Basnet,cover artist,3,2
493,Roshan Singh,cover artist,3,331
494,Aanbhi Production,cover artist,4,20
495,Arjun Kaushal,cover artist,9,111
496,Sashan Kandel,cover artist,5,142
497,Nirmala Bhandari,cover artist,8,41
498,Uday Raj Poudel,nepali indie,5,90
499,Dr Pilots,cover artist,4,186
