Artist Name,Genres,Popularity,Followers Count
Rachana Rimal,"classic nepali pop, nepali pop",20,4413
Anup Kunwar,,25,125
Bishwo Dong,,21,1044
Mahesh Khadka,"classic nepali pop, nepali pop",16,284
Nickofficial,,22,1819
Rupak Dotel,"classic nepali pop, nepali pop",12,511
Phiroj Shyangden,"classic nepali pop, nepali pop",20,2774
Tilok Newar,,16,681
Bidhya Tiwari,,25,245
Shyam Sharan Nepali,,6,110
Utsav,,23,1042
Swaroop Raj Acharya,classic nepali pop,23,6275
Arun Thapa,classic nepali pop,19,22214
changa productions,,27,12
Yash Kumar,"classic nepali pop, nepali pop",30,6264
Yama Buddha,nephop,29,125396
Umesh Pandey,,12,132
Jptrockerz,nepali pop,27,10180
Natikaji,classic nepali pop,17,996
Hrittal,,26,2714
Yam Baral,classic nepali pop,14,5376
NepMelo,,7,43
Karan Bhatta,nepali pop,29,6324
Ashish Aviral,nepali pop,18,4729
Pushpa Nepali,classic nepali pop,5,683
Abhaya & The Steam Engines,"classic nepali pop, nepali pop",16,3963
Mt.8848,nepali rock,18,4329
Karna Das,classic nepali pop,20,16381
The Shadows 'Nepal',"nepali indie, nepali rock",14,35573
Dinesh Dhakal,nepali pop,24,4131
Barsha Thapa,,26,142
Dibya Subba,"classic nepali pop, nepali pop",22,11172
Rajina Rimal,"classic nepali pop, nepali pop",14,2335
Mr.Hyozu,,19,1027
Indira Joshi,"classic nepali pop, nepali pop",20,1286
Yogeshwor Amatya,classic nepali pop,16,14383
Kshetra Gurung,classic nepali pop,11,260
Kunti Moktan,classic nepali pop,20,16744
Rakchha Gurung,,17,8
Nepali Lo-Fi,,3,5
Ketan Chhetri,,12,345
Phatteman,classic nepali pop,15,1713
Arjun Katuwal,,20,509
Shishir Bhandari,,14,72
Krizn,nephop,22,2967
Kelsang Shrestha,nepali pop,25,9244
Basanta Thapa,"classic nepali pop, lok dohori",22,2970
Meena Niraula,nepali pop,15,158
Krishna KC,"classic nepali pop, nepali pop",21,2237
Muna Thapa Magar,,9,976
Anmol Gurung,nepali pop,14,2471
Dhiraj Rai,classic nepali pop,14,7440
Sapana Shree,classic nepali pop,17,434
Bishnu Majhi,"classic nepali pop, lok dohori",23,5634
Jerusha Rai,nepali indie,14,9166
Ram Thapa,classic nepali pop,16,4039
Nepal Death,,4,932
Dharmendra Sewan,nepali pop,19,507
Ram Chandra Kafle,"classic nepali pop, lok dohori, nepali pop",24,8727
Gulam Ali,classic nepali pop,18,7555
Prem Raja Mahat,"classic nepali pop, lok dohori",11,698
Rajan Ishan,"classic nepali pop, nepali pop",15,399
Meera Rana,classic nepali pop,14,1418
Bhanubhakta Dhakal,,14,83
Anju Pant,,16,90
Arjun Pokharel,nepali pop,17,326
Saran Ranjeet,,9,12
KANDARA,classic nepali pop,15,15255
Bimal Adhikari,,20,344
Sukmit Gurung,classic nepali pop,8,667
Danny Denzongpa,,12,417
Sanjeep Pradhan,classic nepali pop,12,526
Prabin Bedwal,"classic nepali pop, nepali pop",15,1841
Raj Sigdel,,5,218
Marmik Lama,"classic nepali pop, nepali pop",15,2054
Deepu Gurung,classic nepali pop,16,354
Ananda Karki,classic nepali pop,17,2803
Damber Nepali,,2,12
Arjun Nepali,,7,45
Bhupu Pandey,,17,371
Varsha Thapa,nepali pop,17,2534
Cadenza Collective,nepali indie,8,2990
Tarzan Lepcha,,10,140
Chandi Prasad Kafle,,13,21
Shankar Thapa,nepali pop,15,261
Bro.- Sis. Band,"classic nepali pop, nepali rock",8,576
Binodkumar Rai & Nepali Group,lok dohori,1,1990
Girish Khatiwada,nephop,15,2221
Bharati Ghimire,,13,82
Premdhoj Pradhan,classic nepali pop,12,95
Kehar Sing Limbu,,15,670
Sanup Paudel,,7,258
Hira Rasaily,classic nepali pop,14,177
C.O.D,,16,504
Reshma Pun,nepali pop,15,614
Ajnish,,8,197
Karma Tseten Ghale,,21,1078
Ciney Gurung,,17,845
Space,"nepali indie, nepali rock",16,3701
Paribesh Band,classic nepali pop,12,375
Sunita Thegim,,15,589
Pariwartan,nepali pop,24,6201
Sugam Pokharel,,16,6
Komal oli,"classic nepali pop, lok dohori",11,421
Ankita Pun,nepali pop,22,6545
Nepal&Fiskal,,9,16
Subani Moktan,nepali pop,13,995
Kranti Ale,,10,90
Chakra Bam,,19,1818
Devika Pradhan,classic nepali pop,13,635
Nima Rumba,classic nepali pop,15,3138
Lochan Bhattarai,classic nepali pop,8,285
Jitu Lopchan,,13,323
Bakemono Gurung,,16,1100
Night,nepali indie,10,3569
Maya Gurung,,6,48
Pranil L Timilsina,,12,23
Nirmal,,8,6
Rodit Bhandari,,15,80
Bima Kumari Dura,"classic nepali pop, lok dohori",11,1372
Andazification,nephop,15,5094
Nima Raya,,24,543
Ashish Abiral,,12,188
